,participant_id,category,is_correct
0,53976390fdf99b73530fe503,A group of males are gathered around the height of 176 cm and the weight of 70 kg. + item30.png,0.0
1,53976390fdf99b73530fe503,"According to your best guess, what will the percentage of people with Adeolitis be in the year 2010? + ggr_item7.png",1.0
2,53976390fdf99b73530fe503,Do all of these planets have the same life expectancy? + bg-table-3.png,1.0
3,53976390fdf99b73530fe503,"Even though there has been some variation, has the unemployment trend generally increased on planet Alyosius since the beginning of this time period? + lg1-3.svg",1.0
4,53976390fdf99b73530fe503,How many months have less than 40mm of rain? + table.png,1.0
5,53976390fdf99b73530fe503,How many months have more rain than the average month? + table.png,1.0
6,53976390fdf99b73530fe503,How many planets spend approximately the same amount on primary students as planet Wobb but have a higher percentage of literate adults? + sp-1.svg,0.0
7,53976390fdf99b73530fe503,"In San Francisco, as the weather gets warmer, there is generally more rain. + bar.png",1.0
8,53976390fdf99b73530fe503,"In city Z, what is the approximate average number of new buildings built from 1950 to 1952? + T50.png",0.0
9,53976390fdf99b73530fe503,In which season does each month have less rain than the month before? + line.png,0.0
10,53976390fdf99b73530fe503,In which state was the unemployment rate the highest in 2015? + item56.png,1.0
11,53976390fdf99b73530fe503,Is the total number of shirts sold by company Z in the first half of 2021 higher than that in the second half? + T23.png,1.0
12,53976390fdf99b73530fe503,More people have rated the taxi between 4.6 and 4.8 than between 4.2 and 4.4. + item25.png,1.0
13,53976390fdf99b73530fe503,"On May 06 in city Z, what is the number of visitors at train station B as a proportion of that at train station C? + T5.png",1.0
14,53976390fdf99b73530fe503,On how many planets does high expenditure per primary student seem to have a high positive impact on adult literacy? + sp-4.svg,1.0
15,53976390fdf99b73530fe503,On how many planets does high expenditure per primary student seem to have a high positive impact on adult literacy? + sp-table-6.png,0.0
16,53976390fdf99b73530fe503,On which planet does high expenditure per primary student lead to the highest adult literacy? + sp-table-1.png,1.0
17,53976390fdf99b73530fe503,On which planet does low expenditure per primary student have the worst impact on adult literacy? + sp-table-2.png,1.0
18,53976390fdf99b73530fe503,"Over the course of years between 2009 and 2014, the number of girls named 'Isla' was always more than 'Olivia'. + item45.png",0.0
19,53976390fdf99b73530fe503,The global smartphone market share of Apple is larger than that of Huawei. + item21.png,1.0
20,53976390fdf99b73530fe503,The metro system in Shanghai has more ridership than the metro system in Beijing. + item53.png,1.0
21,53976390fdf99b73530fe503,The ratio of the cost of Soda to the cost of Water in Orlando is higher than that of Washington D.C. + item15.png,0.0
