,category,mean,ci_upper,ci_lower,test_type
0,How much does it rain in March? + line.png,0.7976190476190477,0.8809523809523809,0.7142857142857143,wainer
1,Which month has 25 mm of rain? + line.png,0.7108433734939759,0.8072289156626506,0.6144578313253012,wainer
2,How many months have less than 40mm of rain? + line.png,0.22727272727272727,0.3181818181818182,0.14772727272727273,wainer
3,Which season has the most rain? + line.png,0.8375,0.9125,0.75,wainer
4,In which season does each month have less rain than the month before? + line.png,0.34523809523809523,0.44047619047619047,0.24970238095238098,wainer
5,"Which season has more rain, the summer or the spring? + line.png",0.8928571428571429,0.9523809523809523,0.8214285714285714,wainer
6,How many months have more rain than the average month? + line.png,0.7391304347826086,0.8152173913043478,0.6521739130434783,wainer
7,"In San Francisco, as the weather gets warmer, there is generally more rain. + line.png",0.7831325301204819,0.8677710843373492,0.6867469879518072,wainer
8,How much does it rain in March? + bar.png,0.9294117647058824,0.9764705882352941,0.8705882352941177,wainer
9,Which month has 25 mm of rain? + bar.png,0.9506172839506173,0.9876543209876543,0.9012345679012346,wainer
10,How many months have less than 40mm of rain? + bar.png,0.43529411764705883,0.5411764705882353,0.32941176470588235,wainer
11,Which season has the most rain? + bar.png,0.9642857142857143,1.0,0.9285714285714286,wainer
12,In which season does each month have less rain than the month before? + bar.png,0.5813953488372093,0.686046511627907,0.4883720930232558,wainer
13,"Which season has more rain, the summer or the spring? + bar.png",0.9438202247191011,0.9887640449438202,0.8876404494382022,wainer
14,How many months have more rain than the average month? + bar.png,0.8588235294117647,0.9294117647058824,0.7764705882352941,wainer
15,"In San Francisco, as the weather gets warmer, there is generally more rain. + bar.png",0.8160919540229885,0.8850574712643678,0.7353448275862069,wainer
16,How much does it rain in March? + radial.png,0.9294117647058824,0.9764705882352941,0.8705882352941177,wainer
17,Which month has 25 mm of rain? + radial.png,0.9058823529411765,0.9647058823529412,0.8352941176470589,wainer
18,How many months have less than 40mm of rain? + radial.png,0.7738095238095238,0.8571428571428571,0.6785714285714286,wainer
19,Which season has the most rain? + radial.png,0.8658536585365854,0.9390243902439024,0.7804878048780488,wainer
20,In which season does each month have less rain than the month before? + radial.png,0.38372093023255816,0.47674418604651164,0.27906976744186046,wainer
21,"Which season has more rain, the summer or the spring? + radial.png",0.9418604651162791,0.9883720930232558,0.8953488372093024,wainer
22,How many months have more rain than the average month? + radial.png,0.7294117647058823,0.8120588235294115,0.6352941176470588,wainer
23,"In San Francisco, as the weather gets warmer, there is generally more rain. + radial.png",0.8072289156626506,0.891566265060241,0.7349397590361446,wainer
24,How much does it rain in March? + table.png,0.9294117647058824,0.9764705882352941,0.8705882352941177,wainer
25,Which month has 25 mm of rain? + table.png,0.9886363636363636,1.0,0.9659090909090909,wainer
26,How many months have less than 40mm of rain? + table.png,0.7529411764705882,0.8355882352941174,0.6588235294117647,wainer
27,Which season has the most rain? + table.png,0.9438202247191011,0.9887640449438202,0.8876404494382022,wainer
28,In which season does each month have less rain than the month before? + table.png,0.573170731707317,0.6707317073170732,0.4634146341463415,wainer
29,"Which season has more rain, the summer or the spring? + table.png",0.9294117647058824,0.9764705882352941,0.8705882352941177,wainer
30,How many months have more rain than the average month? + table.png,0.7058823529411765,0.8,0.611764705882353,wainer
31,"In San Francisco, as the weather gets warmer, there is generally more rain. + table.png",0.9047619047619048,0.9642857142857143,0.8452380952380952,wainer
32,What is the approximate average life expectancy on this group of planets? + bg-1.svg,0.4222222222222222,0.5224999999999997,0.32222222222222224,brbf
33,"Which group of 2 planets (either red, orange, green, purple, brown, or pink) has the biggest difference in life expectancy? + bg-2.svg",0.6,0.7058823529411765,0.49411764705882355,brbf
34,Which planet has the highest life expectancy? + bg-3.svg,0.9761904761904762,1.0,0.9404761904761905,brbf
35,What is the approximate average life expectancy on this group of planets? + bg-4.svg,0.40963855421686746,0.5180722891566265,0.30120481927710846,brbf
36,Do all of these planets have the same life expectancy? + bg-5.svg,0.963855421686747,1.0,0.9156626506024096,brbf
37,Which planet has the lowest life expectancy? + bg-6.svg,0.9047619047619048,0.9642857142857143,0.8333333333333334,brbf
38,Which planet has the highest life expectancy? + bg-7.svg,0.8941176470588236,0.9529411764705882,0.8235294117647058,brbf
39,Which planet has the lowest life expectancy? + bg-8.svg,0.9534883720930233,0.9883720930232558,0.9069767441860465,brbf
40,Where is life expectancy roughly 61? + bg-9.svg,0.898876404494382,0.9550561797752809,0.8314606741573034,brbf
41,"Which group of 2 planets (either green, red, or orange) has the biggest difference in life expectancy? + bg-10.svg",0.7901234567901234,0.8765432098765432,0.691358024691358,brbf
