index,question_image,category,is_correct,test_type
0,A group of males are gathered around the height of 176 cm and the weight of 70 kg. + item30.png,statistical inference,0.7816091954022989,vlat
1,A group of the metro systems of the world has approximately 300 stations and around a 200km system length. + item51.png,statistical inference,0.6162790697674418,vlat
2,About how much did the price of a barrel of oil fall from April to September in 2015? + item5.png,arithmetic computation,0.7840909090909091,vlat
3,About what is the global smartphone market share of Samsung? + item19.png,value identification,0.6190476190476191,vlat
4,About what is the ratio of the cost of a sandwich to the total cost of room service in Seattle? + item11.png,value identification,0.49411764705882355,vlat
5,About what was the ratio of the number of girls named 'Olivia' to those named 'Isla' in 2014 in the UK? + item41.png,value identification,0.2727272727272727,vlat
6,"According to your best guess, what will the percentage of people with Adeolitis be in the year 2010? + ggr_item7.png",statistical inference,0.49411764705882355,ggr-mc
7,Approximately what percentage of people had Adeolitis in the year 2000? + ggr_item5.png,value identification,0.8314606741573034,ggr-mc
8,"Approximately what percentage of people who die from cancer die from colon cancer, breast cancer, and prostate cancer taken together? + ggr_item4.png",arithmetic computation,0.6705882352941176,ggr-mc
9,"Approximately, what is brand C’s total sales as a proportion of brand B’s total sales from Jan 01 to Mar 15? + T9.png",arithmetic computation,0.17647058823529413,calvi
10,"Approximately, what is store C's total sales as a proportion of store B's total sales in 1995? + N9.png",arithmetic computation,0.27380952380952384,calvi
11,"Approximately, what is the number of votes for candidate A as a proportion of those for candidate B? + T26.png",arithmetic computation,0.4659090909090909,calvi
12,"Approximately, what is the total number of visitors at amusement park B as a proportion of that at amusement park C from May to December? + T8.png",arithmetic computation,0.23255813953488372,calvi
13,Are there more households with exactly 1 car than households with exactly 2 cars? + T29.png,arithmetic computation,0.05747126436781609,calvi
14,"Assuming today is Apr 10, 2022, did the total number of cars parked in the three parking lots fall sharply in 2022? + T36.png",arithmetic computation,0.21176470588235294,calvi
15,"Assuming today is Feb 20, 2022, which of the following is true about the vegetables planted by the three farms? + T35.png",arithmetic computation,0.18072289156626506,calvi
16,"Assuming today is May 01, 2022, which of the following statements is true? + T37.png",arithmetic computation,0.04878048780487805,calvi
17,"Assuming today is May 01, and half of the votes from each state for a favorite ice cream brand have been counted. The color of each state corresponds to the brand that has received the most votes in that state so far. The brand with the most number of colored states will be the most popular brand, and the results will be finalized on May 15. Which of the following is true? + T45.png",statistical inference,0.25301204819277107,calvi
18,"Assuming today is May 10 and given the chart below, which statement about rainfall (mm) is true for the past 14 days? + T21.png",value identification,0.1411764705882353,calvi
19,"Between 1980 and 1990, which disease had a higher increase in the percentage of people affected? + ggr_item12.png",statistical inference,0.654320987654321,ggr-mc
20,"Company A sells a board game. Assuming today is Jun 01, 2022, which of the following statements is true? + T34.png",arithmetic computation,0.14634146341463414,calvi
21,"Compared to the placebo, which treatment leads to a larger decrease in the percentage of patients who die? + ggr_item10.png",statistical inference,0.3411764705882353,ggr-mc
22,Do U.S. states have a more similar number of sunny days in the summer or in the winter? + T1.png,arithmetic computation,0.15476190476190477,calvi
23,Do U.S. states have a more similar number of windy days in the summer or in the winter? + T2.png,arithmetic computation,0.08139534883720931,calvi
24,Do all of these planets have the same life expectancy? + bg-12.svg,statistical inference,0.9655172413793104,brbf
25,Do all of these planets have the same life expectancy? + bg-5.svg,statistical inference,0.963855421686747,brbf
26,Do all of these planets have the same life expectancy? + bg-table-3.png,statistical inference,0.9880952380952381,brbf
27,Do all of these planets have the same life expectancy? + bg-table-9.png,statistical inference,0.9397590361445783,brbf
28,Does any members of species C weigh more than 5 lbs? + T40.png,value identification,0.023255813953488372,calvi
29,Does cell phone brand A have more than half of the total market share? + T28.png,arithmetic computation,0.012048192771084338,calvi
30,Does expenditure per primary student generally have a positive impact on adult literacy in this group of planets? + sp-3.svg,statistical inference,0.6904761904761905,brbf
31,Does expenditure per primary student generally have a positive impact on adult literacy in this group of planets? + sp-table-3.png,statistical inference,0.8554216867469879,brbf
32,Does expenditure per primary student seem to have a positive impact on adult literacy on planet Kithrup? + sp-table-9.png,statistical inference,0.8255813953488372,brbf
33,Does expenditure per primary student seem to have a positive impact on adult literacy on planet Maarin? + sp-6.svg,statistical inference,0.7625,brbf
34,"Even though there has been some variation, has the unemployment trend generally increased on all of these planets since the beginning of this time period? + lg1-9.svg",statistical inference,0.8023255813953488,brbf
35,"Even though there has been some variation, has the unemployment trend generally increased on all of these planets since the beginning of this time period? + lg1-table-3.png",statistical inference,0.7349397590361446,brbf
36,"Even though there has been some variation, has the unemployment trend generally increased on planet Alyosius since the beginning of this time period? + lg1-3.svg",statistical inference,0.8470588235294118,brbf
37,"Even though there has been some variation, has the unemployment trend generally increased on planet Vincetori since the beginning of this time period? + lg1-table-9.png",statistical inference,0.8255813953488372,brbf
38,"Even though there has been some variation, where has the unemployment trend generally increased the most since the beginning of this time period? + lg1-7.svg",arithmetic computation,0.5882352941176471,brbf
39,"Even though there has been some variation, where has the unemployment trend generally increased the most since the beginning of this time period? + lg1-table-6.png",arithmetic computation,0.40963855421686746,brbf
40,For which website was the number of unique visitors the largest in 2010? + item59.png,value identification,0.9318181818181818,vlat
41,How many countries in Asia is the average internet speed slower than Thailand? + item9.png,arithmetic computation,0.449438202247191,vlat
42,How many months have less than 40mm of rain? + bar.png,arithmetic computation,0.43529411764705883,wainer
43,How many months have less than 40mm of rain? + line.png,arithmetic computation,0.22727272727272727,wainer
